EventSensor_ns,RowType,Source_Index,Source_SensorTimestamp_ns,Sink_Index,Sink_SensorTimestamp_ns,Sink_SensorTimestamp_Corrected_ns,TimeDifference_ns,TimeDifference_ms
7249691072000,MATCHED,230,7249691072000,230,8837907447000,7249691068000,4000,0.004000
7249724391000,MATCHED,231,7249724391000,231,8837940765000,7249724386000,5000,0.005000
7249757713000,MATCHED,232,7249757713000,232,8837974083000,7249757704000,9000,0.009000
7249791024000,MATCHED,233,7249791024000,233,8838007402000,7249791023000,1000,0.001000
7249824347000,MATCHED,234,7249824347000,234,8838040720000,7249824341000,6000,0.006000
7249857662000,MATCHED,235,7249857662000,235,8838074039000,7249857660000,2000,0.002000
7249890980000,MATCHED,236,7249890980000,236,8838107357000,7249890978000,2000,0.002000
7249924296000,MATCHED,237,7249924296000,237,8838140676000,7249924297000,-1000,-0.001000
7249957615000,MATCHED,238,7249957615000,238,8838173994000,7249957615000,0,0.000000
7249990938000,MATCHED,239,7249990938000,239,8838207312000,7249990933000,5000,0.005000
7250024252000,MATCHED,240,7250024252000,240,8838240632000,7250024253000,-1000,-0.001000
7250057572000,MATCHED,241,7250057572000,241,8838273950000,7250057571000,1000,0.001000
7250090892000,MATCHED,242,7250090892000,242,8838307265000,7250090886000,6000,0.006000
7250124213000,MATCHED,243,7250124213000,243,8838340587000,7250124208000,5000,0.005000
7250157527000,MATCHED,244,7250157527000,244,8838373905000,7250157526000,1000,0.001000
7250190847000,MATCHED,245,7250190847000,245,8838407223000,7250190844000,3000,0.003000
7250224165000,MATCHED,246,7250224165000,246,8838440541000,7250224162000,3000,0.003000
7250257485000,MATCHED,247,7250257485000,247,8838473860000,7250257481000,4000,0.004000
7250290806000,MATCHED,248,7250290806000,248,8838507178000,7250290799000,7000,0.007000
7250324120000,MATCHED,249,7250324120000,249,8838540498000,7250324119000,1000,0.001000
7250357438000,MATCHED,250,7250357438000,250,8838573816000,7250357437000,1000,0.001000
7250390757000,MATCHED,251,7250390757000,251,8838607135000,7250390756000,1000,0.001000
7250424075000,MATCHED,252,7250424075000,252,8838640453000,7250424074000,1000,0.001000
7250457395000,MATCHED,253,7250457395000,253,8838673771000,7250457392000,3000,0.003000
7250490713000,MATCHED,254,7250490713000,254,8838707089000,7250490710000,3000,0.003000
7250524029000,MATCHED,255,7250524029000,255,8838740408000,7250524029000,0,0.000000
7250557350000,MATCHED,256,7250557350000,256,8838773726000,7250557347000,3000,0.003000
7250590667000,MATCHED,257,7250590667000,257,8838807044000,7250590665000,2000,0.002000
7250623988000,MATCHED,258,7250623988000,258,8838840363000,7250623984000,4000,0.004000
7250657305000,MATCHED,259,7250657305000,259,8838873682000,7250657303000,2000,0.002000
7250690623000,MATCHED,260,7250690623000,260,8838907000000,7250690621000,2000,0.002000
7250723941000,MATCHED,261,7250723941000,261,8838940319000,7250723940000,1000,0.001000
7250757259000,MATCHED,262,7250757259000,262,8838973638000,7250757259000,0,0.000000
7250790584000,MATCHED,263,7250790584000,263,8839006957000,7250790578000,6000,0.006000
7250823898000,MATCHED,264,7250823898000,264,8839040273000,7250823894000,4000,0.004000
7250857219000,MATCHED,265,7250857219000,265,8839073592000,7250857213000,6000,0.006000
7250890533000,MATCHED,266,7250890533000,266,8839106911000,7250890532000,1000,0.001000
